store_id,store_name,addr_id,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020_Jan,Y2020,X,Y,method,match
st_228667,MY FAMILY CHOICE,A241612,6131,S Norcross Tucker Rd,Ste 400,Norcross,GA,30093,Combination Grocery/Other,2,Small retail,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-84.20998188,33.89601818,esri,PointAddress
st_228682,Mi Preferida,A233898,6801,Peachtree Industrial Blvd,NA,Atlanta,GA,30360,Small Grocery Store,14,Grocer,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-84.26812009,33.92920821,esri,PointAddress
st_228701,Marathon Food Mart,A227381,645,Danielsville Rd,NA,Athens,GA,30601,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,0,0,0,1,1,-83.36225606,33.98113154,esri,NA
st_228739,FRIENDLY EXPRESS 50,A162837,1720,Memorial Dr,NA,Waycross,GA,31501,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-82.33665,31.20589,usda,NA
st_228744,OM Convenience,A249890,1245,Cate Rd,NA,Brunswick,GA,31525,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,0,0,0,0,0,0,0,-81.51490378,31.23582804,esri,PointAddress
st_228786,Unadilla Mini Food,A335115,1800,Pine St,NA,Unadilla,GA,31091,Convenience Store,3,Small retail,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,-83.73822796,32.25738284,esri,NA
st_228820,Suwanee Chevron,A319101,3033,Lawrenceville Suwanee Rd,NA,Suwanee,GA,30024,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-84.04918,34.03098,usda,NA
st_228856,HENRY COUNTY BP,A180435,540,Hampton Rd,NA,McDonough,GA,30253,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,0,0,0,0,-84.16345,33.43516,usda,NA
st_228860,Dollar Tree 362,A122394,65,Lawrenceville Suwanee Rd,NA,Lawrenceville,GA,30044,Combination Grocery/Other,2,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-84.01988,33.94349,usda,NA
st_228896,QUICK CHANGE 50,A268626,1966,GA Highway 32,NA,IRWINVILLE,GA,31760,Convenience Store,3,Small retail,4,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-83.3852928,31.6475042,google,geometric_center
st_228914,SILOAM BP,A051217,3870,HWY 77,NA,SILOAM,GA,30665,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,0,0,0,0,0,1,1,-83.08036018,33.5405615,esri,NA
st_228937,S&L OIL STORE 2,A068352,12449,Highway 27,NA,Summerville,GA,30747,Convenience Store,3,Small retail,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-85.32407508,34.5090859,esri,NA
st_228974,YOUR BUYING CLUB,A362639,2787,Seaborn Rd NW,NA,Atlanta,GA,30318,Delivery Route,4,Other store,3,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-84.47914,33.77513,usda,NA
st_228976,Buy Rite,A056529,2400,Clark Ave,NA,Albany,GA,31705,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-84.09463,31.57994,usda,NA
st_229046,Friendly Express 13,A162824,6349,Valdosta Hwy,NA,Manor,GA,31550,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,0,0,0,0,0,0,0,-82.57596582,31.10330506,esri,NA
st_229049,Friendly Express 14,A162825,507,City Blvd,NA,Waycross,GA,31501,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,0,0,0,-82.3324,31.20866,usda,NA
st_229075,SHADY ACRE,A296709,8,Stockmar Rd,NA,Villa Rica,GA,30180,Direct Marketing Farmer,5,Local foods,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-84.90647392,33.74988547,esri,PointAddress
st_229102,Food Mart,A032814,3083,Breckinridge Blvd,NA,Duluth,GA,30096,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-84.11047,33.95843,usda,NA
st_229147,GAR FOODMART,A137840,4959,Memorial Dr,Ste A5,Stone Mountain,GA,30083,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,0,0,0,0,0,-84.23016188,33.7904415,esri,NA
st_229162,JM Food Mart,A194924,1303,Highway 32 East,NA,Tifton,GA,31794,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-83.50783,31.45455,usda,NA
st_229194,Clydes Market 32,A077759,1125,S Lewis St,NA,Metter,GA,30439,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,0,0,1,1,-82.06203,32.37857,usda,NA
st_229198,CLYDES MARKET 37,A077763,1609,Fair Rd,NA,Statesboro,GA,30458,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,0,0,1,1,-81.76376,32.40809,usda,NA
st_229202,CLYDES MARKET 88,A077786,235,US Highway 80 E,NA,Pooler,GA,31322,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,0,0,0,0,0,-81.24417938,32.11454053,esri,PointAddress
st_229210,CLYDES MARKET 11,A077752,1031,US Highway 80 W,NA,Pooler,GA,31322,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,0,0,0,0,-81.26514,32.12153,usda,NA
st_229214,CLYDES MARKET 24,A077755,95,S Tallahassee St,NA,Hazlehurst,GA,31539,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,0,0,0,0,-82.60328,31.86151,usda,NA
st_229215,NEIGHBORHOOD FOOD MART,A243430,2675,Montpelier Ave,NA,Macon,GA,31204,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,-83.66408831,32.83179974,esri,NA
st_229269,NEIGHBORHOOD MART,A243531,612,Rockbridge Rd SW,NA,Lilburn,GA,30047,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-84.14142,33.8579,usda,NA
st_229304,FIRST CHOICE FOODS DISTRIBUTING,A154072,1415,10th Ave,Ste A3,Columbus,GA,31901,Meat/Poultry Specialty,9,Specialty,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-84.97976662,32.473188,esri,PointAddress
st_229325,LA CONSENTIDA MARKET 01,A209705,13,Claire Rd,NA,Claxton,GA,30417,Small Grocery Store,14,Grocer,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-81.89679,32.17426,usda,NA
st_229349,STOP & SAVE,A311572,2671,Centerville Hwy,Ste 160,Snellville,GA,30078,Convenience Store,3,Small retail,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-84.03412608,33.837849,esri,NA
st_229353,M&M VARIETY STORE,A162783,620,Southside Commercial Pkwy,NA,Jonesboro,GA,30236,Small Grocery Store,14,Grocer,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-84.37098451,33.56822165,esri,NA
st_229357,Texaco Food Mart,A323973,4578,Britt Rd,NA,Tucker,GA,30084,Convenience Store,3,Small retail,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-84.20379,33.88079,usda,NA
st_229358,DAULAT IMPEX,A097888,2490,Cruse Rd,NA,Lawrenceville,GA,30044,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,0,0,0,0,0,0,0,-84.07699017,33.94227149,esri,PointAddress
st_229359,Sapna Food & Gas,A201086,2100,Killian Hill Rd,NA,Snellville,GA,30039,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,0,0,0,0,0,0,0,-84.07043375,33.84061802,esri,NA
st_229365,Fast Food Mart,A151599,3420,Winder Hwy,NA,Flowery Branch,GA,30542,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,0,0,0,0,-83.86215,34.2197,usda,NA
st_229381,SIX FLAGS CITGO,A055176,351,Six Flags Dr,NA,Austell,GA,30168,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,0,0,0,0,0,0,-84.56557265,33.7772703,esri,NA
st_229411,r and s food mart,A177052,2334,Dawson Forest Rd E,NA,Dawsonville,GA,30534,Convenience Store,3,Small retail,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-84.07469097,34.3536415,esri,NA
st_229419,CLYDES MARKET 33,A077760,10663,Highway 29 & I-16,NA,SOPERTON,GA,30457,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,0,0,0,0,-82.67851,32.43678,usda,NA
st_229423,CLYDE'S MARKET 30,A077735,10880,COASTAL HWY,NA,RICEBORO,GA,31323,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,0,0,0,0,0,0,-81.3952679,31.65538529,esri,StreetAddress
st_229433,CLYDES MARKET 55,A077773,2281,HWY 17,NA,RICHMOND HILL,GA,31324,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,0,0,1,1,-81.31192,31.95026,usda,NA
st_229434,Chevron,A067664,1401,Moreland Ave,NA,Atlanta,GA,30316,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,0,0,-84.34952354,33.71610647,esri,PointAddress
st_229436,Decatur Street Variety Store,A099077,1174,Pryor Rd SW,Ste E,Atlanta,GA,30315,Convenience Store,3,Small retail,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-84.39328711,33.72274789,esri,StreetAddress
st_229513,Friendly Express 87,A162847,102,Broadhurst Rd,NA,Screven,GA,31560,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-82.01665,31.48589,usda,NA
st_229528,Hebys Shell,A179973,4360,Floyd Rd SW,NA,Mableton,GA,30126,Convenience Store,3,Small retail,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-84.58468,33.84642,usda,NA
