store1id,store1name,store2name,store2name_1,address_distence,name_distance,address1,address2,add_dist,dup
apple market 5010,st_062716,apple market 5014,st_062713,11,1,101 Outlet Center Dr_NA_Georgetown_KY_40324,101 Mary Lynn Dr_NA_Georgetown_KY_40324,11,0
fastrip food store 619,st_065076,fastrip food store 633,st_130193,8,2,4901 S Union Ave_NA_Bakersfield_CA_93307,6401 S H St_NA_Bakersfield_CA_93304,11,0
huck's 146,st_100219,huck's 200,st_100766,9,3,102 N McLeansboro St_NA_Benton_IL_62812,1200 N Main St_NA_Benton_IL_62812,11,0
save a lot 102,st_182115,save a lot 104,st_182119,5,1,3819 S East St_NA_Indianapolis_IN_46227,5940 E 10th St_NA_Indianapolis_IN_46219,11,0
sunoco 2586 2586,st_216133,sunoco 2587 2587,st_216138,7,2,3953 Bee Ridge Rd_NA_Sarasota_FL_34233,6988 Beneva Rd_NA_Sarasota_FL_34238,11,0
7-eleven 042,st_165442,7-eleven 043,st_165443,8,1,3151 Oldham Ln_NA_Abilene_TX_79602,4142 N Clack St_NA_Abilene_TX_79601,12,0
7-eleven 042,st_165442,7-eleven 044,st_165444,8,1,3151 Oldham Ln_NA_Abilene_TX_79602,3749 W Lake Rd_NA_Abilene_TX_79601,12,0
circle k 2722356,st_159977,circle k 2722357,st_159976,7,1,1701 S Water St_NA_Starke_FL_32091,19499 NW SR 16_NA_Starke_FL_32091,12,0
cvs 3447,st_111158,cvs 3453,st_111153,6,2,4901 N Main St_NA_Dayton_OH_45415,32 N Ludlow St_NA_Dayton_OH_45402,12,0
el mich market,st_130412,el milagro market,st_005770,8,5,4301 S Broadway_NA_Los Angeles_CA_90037,1801 Albion St_NA_Los Angeles_CA_90031,12,0
fasmart 239,st_330860,fasmart 242,st_330858,9,2,100 Main St_NA_Stevensville_MD_21666,201 Romancoke Rd_NA_Stevensville_MD_21666,12,0
fry's 131,st_166509,fry's 138,st_166508,7,1,2480 N Swan Rd_NA_Tucson_AZ_85712,4036 N 1st Ave_NA_Tucson_AZ_85719,12,0
minit mart 676,st_388446,minit mart 680,st_388450,9,2,905 S Limestone_NA_Lexington_KY_40503,930 S Broadway_NA_Lexington_KY_40504,12,0
rons market,st_131010,rons market,st_182545,16,0,102 N Main St_NA_Avon_SD_57315,210 Main St_NA_Stickney_SD_57375,12,0
stop in 121,st_271213,stop in 122,st_271214,8,1,3609 Plantation Rd NE_NA_Roanoke_VA_24012,4840 Williamson Rd NW_NA_Roanoke_VA_24012,12,0
stripes 7123,st_120103,stripes 7131,st_120107,8,2,2034 Airline Rd_NA_Corpus Christi_TX_78412,6002 Ayers St_NA_Corpus Christi_TX_78415,12,0
walmart neighborhood market 3202,st_367209,walmart neighborhood market 3327,st_411947,9,3,4900 S SOONER RD_NA_Oklahoma City_OK_73135,2900 SW 134th St_NA_Oklahoma City_OK_73170,12,0
7 eleven store 35710a,st_389740,7 eleven store 35895a,st_389741,9,3,311 Broadway_NA_New York_NY_10007,243 W 34th St_NA_New York_NY_10001,13,0
7-eleven 53321,st_028503,7-eleven 53323,st_028506,8,1,3400 Hondo Pass Dr_NA_El Paso_TX_79904,295 Padres Dr_NA_El Paso_TX_79907,13,0
duane reade 113,st_033101,duane reade 14104,st_033097,9,3,224 W 57TH ST_NA_NEW YORK_NY_10019,401 PARK AVE S_NA_NEW YORK_NY_10016,13,0
duane reade 14297,st_033588,duane reade 14366,st_033701,8,3,900 8th Ave_NA_New York_NY_10019,2409 Broadway_NA_New York_NY_10024,13,0
family dollar store 7042,st_046164,family dollar store 7075,st_046165,8,2,7600 Jensen Dr_NA_Houston_TX_77093,9201 N Wayside Dr_NA_Houston_TX_77028,13,0
farm fresh 408,st_016236,farm fresh 6258,st_097236,9,3,201 E Berkley Ave_NA_Norfolk_VA_23523,179 W Ocean View Ave_NA_Norfolk_VA_23503,13,0
food emporium 719,st_020212,food emporium 732,st_108210,7,2,1211 Madison Ave_NA_New York_NY_10128,810 8th Ave_NA_New York_NY_10019,13,0
jackson's 508,st_059799,jackson's 520,st_059809,7,2,10131 NE Sandy Blvd_NA_Portland_OR_97220,621 SE Grand Ave_NA_Portland_OR_97214,13,0
save-a-lot 885,st_256138,save-a-lot 886,st_256136,9,1,6858 S Aberdeen St_NA_Chicago_IL_60621,148 W 79th St_NA_Chicago_IL_60620,13,0
terrible's 184,st_231305,terrible's 208,st_231318,9,3,8590 W Lake Mead Blvd_NA_Las Vegas_NV_89128,7310 Las Vegas Blvd S_NA_Las Vegas_NV_89123,13,0
turkey hill minit market 265,st_197407,turkey hill minit market 282,st_197409,9,2,1025 Middletown Rd_NA_Hummelstown_PA_17036,240 Hershey Rd_NA_Hummelstown_PA_17036,13,0
walmart neighborhood market 5365,st_004601,walmart neighborhood market 5366,st_004602,10,1,3950 N Wickham Rd_NA_Melbourne_FL_32935,3550 S Babcock St_NA_Melbourne_FL_32901,13,0
wesco 03,st_144047,wesco 18,st_020396,10,2,1385 W Sherman Blvd_NA_Muskegon_MI_49441,1858 Ruddiman Dr_NA_Muskegon_MI_49445,13,0
7-eleven 10102h,st_160754,7-eleven 10104,st_160755,9,2,1628 S Atlantic Ave_NA_Daytona Beach_FL_32118,955 S Ridgewood Ave_NA_Daytona Beach_FL_32114,14,0
7-eleven 53320,st_028502,7-eleven 53323,st_028506,9,1,4130 Hercules Ave_NA_El Paso_TX_79904,295 Padres Dr_NA_El Paso_TX_79907,14,0
albertsons 2035,st_026748,albertsons 2037,st_026749,9,1,1414 3rd St NW_NA_Great Falls_MT_59404,2250 10th Ave S_NA_Great Falls_MT_59405,14,0
alco discount store 336,st_009674,alco discount store 358,st_003518,15,2,1270 W Main St_NA_Tremonton_UT_84337,474 E Main St_NA_Delta_UT_84624,14,0
alta 6311,st_420272,alta 6316,st_420276,9,1,1904 N 12th St_NA_Grand Junction_CO_81501,2219 Broadway_NA_Grand Junction_CO_81507,14,0
circle k 2723010,st_262290,circle k 2723014,st_095119,10,1,1571 McArthur Rd_NA_Fayetteville_NC_28311,2501 Hope Mills Rd_NA_Fayetteville_NC_28306,14,0
cumberland farms 1559,st_239990,cumberland farms 1578,st_068597,13,2,236 Main St_NA_Cairo_NY_12413,103 Maple St_NA_Corinth_NY_12822,14,0
duane reade 121,st_034571,duane reade 14104,st_033097,9,3,215 W 34TH ST_NA_NEW YORK_NY_10001,401 PARK AVE S_NA_NEW YORK_NY_10016,14,0
gomez grocery,st_141216,gomez grocery,st_141131,9,0,82 E Walnut Ln_NA_Philadelphia_PA_19144,6621 Lebanon Ave_NA_Philadelphia_PA_19151,14,0
kum & go 468,st_149421,kum & go 479,st_149648,9,2,609 E Elm St_NA_Springfield_MO_65806,510 W Republic Rd_NA_Springfield_MO_65807,14,0
kum & go 494,st_193072,kum & go 495,st_193076,13,1,402 N Massey Blvd_NA_Nixa_MO_65714,102 S Ridgecrest Ave_NA_Nixa_MO_65714,14,0
la popular bakery & cake shop,st_145443,la popular bakery & cake shop #2,st_145442,9,3,9055 Marbach Rd_NA_San Antonio_TX_78245,2417 Nogalitos_NA_San Antonio_TX_78225,14,0
mapco express 3138,st_118103,mapco express 3161,st_131252,8,2,298 E Mallory Ave_NA_Memphis_TN_38109,6705 E Shelby Dr_NA_Memphis_TN_38141,14,0
marathon fuel & mini mart,st_280381,marathon fuel & mini mart,st_342831,9,0,7850 S King Dr_NA_Chicago_IL_60619,43 N Homan Ave_NA_Chicago_IL_60624,14,0
rite aid 10143,st_220882,rite aid 10145,st_220884,14,1,119 Washington St_NA_Norwell_MA_2061,469 Walpole St_NA_Norwood_MA_2062,14,0
rite aid 11712,st_108484,rite aid 11717,st_108467,9,1,3028 Shallowford Rd_NA_Marietta_GA_30062,2833 Canton Rd_NA_Marietta_GA_30066,14,0
rite aid 5649,st_094005,rite aid 5661,st_093999,9,2,6939 Linda Vista Rd_NA_San Diego_CA_92111,8985 Mira Mesa Blvd_NA_San Diego_CA_92126,14,0
superamerica,st_419329,superamerica,st_419328,13,0,181 Highway 23 W_NA_Foley_MN_56329,14298 Highway 25_NA_Pierz_MN_56364,14,0
united pacific 6492,st_397708,united pacific 6514,st_397780,11,3,4495 Peoria St_NA_Denver_CO_80239,3495 S Monaco Pkwy_NA_Denver_CO_80222,14,0
young's 3617,st_329142,young's 3618,st_329146,11,1,470 Pinewood Rd_NA_Sumter_SC_29154,1970 Camden Hwy_NA_Sumter_SC_29150,14,0
7-eleven 0815,st_115532,7-eleven 0816,st_115541,10,1,900 S Big Spring St_NA_Midland_TX_79701,4415 N Garfield St_NA_Midland_TX_79705,15,0
7-eleven 747,st_384038,7-eleven 749,st_384039,10,1,8600 Central Ave SW_NA_Albuquerque_NM_87121,5720 Zuni Rd Se_NA_Albuquerque_NM_87108,15,0
casey's general store 3005,st_276094,casey's general store 3006,st_276095,14,1,112 2nd St_NA_Welcome_MN_56181,31 2nd Ave NW_NA_Wells_MN_56097,15,0
circle k 2726356,st_003282,circle k 2726361,st_003277,11,2,1203 E Southern Ave_NA_Mesa_AZ_85204,2760 E Baseline Rd_NA_Mesa_AZ_85204,15,0
country market,st_008226,country market,st_288121,16,0,2147 Pine St_NA_Ceres_CA_95307,10476 W Linne Rd_NA_Tracy_CA_95377,15,0
cvs pharmacy 8766,st_026397,cvs pharmacy 8769,st_026398,10,1,6330 N 76th St_NA_Milwaukee_WI_53218,5929 W Lisbon Ave_NA_Milwaukee_WI_53210,15,0
dollar general 14379,st_322568,dollar general 14401,st_322578,12,3,410 E Main St_NA_Binger_OK_73009,1905 E Main St_NA_Quincy_CA_95971,15,0
food lion 1454,st_099369,food lion 1491,st_101434,12,2,3415 Avent Ferry Rd_NA_Raleigh_NC_27606,3151 Capital Blvd_NA_Raleigh_NC_27604,15,0
gerrity's supermarket,st_026166,gerrity's supermarket,st_128765,22,0,801 Wyoming Ave_NA_West Pittston_PA_18643,2020 Wyoming Ave_NA_Wyoming_PA_18644,15,0
