,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,store_name,addr_num,addr_st,addr_add,city,st,zip5,store_type,storeid,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,long,lat,address
225,222,294328,294328,1 up discount llc d/b/a 1 up mini-mart,2378,Grand Ave,,Baldwin,NY,11510,Convenience Store,st_293674,0,0,0,0,1,0,0,0,0,0,-80.74727,28.35768,grand ave baldwin ny baldwin
226,223,391374,391374,1 zone 11,950,Wolcott St,,Waterbury,CT,6705,Convenience Store,st_389728,0,0,0,0,0,0,0,0,1,1,-92.26721,34.76721,wolcott st waterbury ct waterbury
227,224,77243,77243,1$ warehouse,2901,WHITTIER BL. G & E,,LOS ANGELES,CA,90023,Convenience Store,st_077233,1,0,0,0,0,0,0,0,0,0,-71.398836,41.8885172,whittier bl. g & e los angeles ca los angeles
228,225,52568,52568,"1, 2. 3 discount store inc",160,Broadway,,Newburgh,NY,12550,Medium Grocery Store,st_052565,1,1,1,1,1,1,0,0,0,0,-83.58930736,32.54372152,broadway newburgh ny newburgh
229,226,112571,112571,"1,2,3 farm",218-23,JAMAICA AVE,,JAMAICA,NY,11428,Combination Grocery/Other,st_112561,1,1,1,1,1,1,1,1,1,0,-73.93366986,40.67149805,jamaica ave jamaica ny jamaica
230,227,80206,80206,"1,2,3, quick, inc",73,Whittier Dr,,Mastic Beach,NY,11951,Convenience Store,st_080196,1,1,1,1,1,1,1,1,1,1,-89.84021226,31.23696204,whittier dr mastic beach ny mastic beach
231,228,278092,278092,1-30 superstore,612,E Roosevelt Rd,,Little Rock,AR,72206,Convenience Store,st_277573,0,0,0,0,1,1,1,1,1,1,-84.54823,39.21641,e roosevelt rd little rock ar little rock
232,229,246668,246668,1-quick stop,3525,W Ledbetter Dr,,Dallas,TX,75233,Convenience Store,st_246332,0,0,0,1,1,1,1,1,0,0,-85.3544,34.2544,w ledbetter dr dallas tx dallas
233,230,108731,108731,1-stop,1301,E Houston Ave,,Visalia,CA,93292,Convenience Store,st_108721,1,1,1,1,1,1,1,1,0,0,-117.980631,34.5210865,e houston ave visalia ca visalia
234,231,276930,276930,1-stop food store,5101,Airport Blvd,,Austin,TX,78751,Convenience Store,st_276421,0,0,0,0,1,1,1,1,1,1,-80.16303,25.92702,airport blvd austin tx austin
235,232,406881,406881,1-stop food store,2417,N Tryon St,Ste E,Charlotte,NC,28206,Convenience Store,st_405031,0,0,0,0,0,0,0,0,0,1,-73.87942,40.74072,n tryon st charlotte nc charlotte
236,233,222079,222079,1-stop food stores,1491,N Leroy St,,Fenton,MI,48430,Convenience Store,st_221861,0,0,1,1,1,1,1,1,1,1,-81.9456,30.08906,n leroy st fenton mi fenton
237,234,289993,289993,1-stop food stores 22,6010,Davison Rd,,Burton,MI,48509,Convenience Store,st_289371,0,0,0,0,1,1,1,1,1,1,-90.40597,42.16425,davison rd burton mi burton
238,235,289996,289996,1-stop food stores 30,1509,S State Rd,,Davison,MI,48423,Convenience Store,st_289374,0,0,0,0,1,1,1,1,1,1,-121.8764,37.41572,s state rd davison mi davison
239,236,289990,289990,1-stop food stores 31,8005,Davison Rd,,Davison,MI,48423,Convenience Store,st_289368,0,0,0,0,1,1,1,1,1,1,-83.83167,34.27987,davison rd davison mi davison
240,237,412987,412987,1-stop lehigh mart,1240,Lehigh St,,Allentown,PA,18103,Convenience Store,st_411082,0,0,0,0,0,0,0,0,0,1,-97.93861,29.88345,lehigh st allentown pa allentown
241,238,90208,90208,1-stop market,1501,N China Lake Blvd,,Ridgecrest,CA,93555,Convenience Store,st_090198,1,1,1,1,1,1,1,1,1,0,-107.7833416,39.54027074,n china lake blvd ridgecrest ca ridgecrest
242,239,118431,118431,1-stop market,4324,Highway 281,,Belcourt,ND,58316,Supermarket,st_118421,1,1,1,1,1,1,1,1,1,1,-98.47793122,29.3828381,highway 281 belcourt nd belcourt
243,240,370118,370118,1-stop shop,1512,S Belt Line Rd,Ste 2,Dallas,TX,75253,Convenience Store,st_368703,0,0,0,0,0,0,0,1,1,1,-79.82932,35.96438,s belt line rd dallas tx dallas
244,241,263811,263811,1.00 $ plus store,11122,Airline Dr,,Houston,TX,77037,Convenience Store,st_263376,0,0,0,1,1,1,1,1,1,0,-86.35353,33.27863,airline dr houston tx houston
245,242,204993,204993,1.00 & discount mart,2056,Pacific Ave,Ste 102,Long Beach,CA,90806,Convenience Store,st_204842,0,0,1,1,1,1,1,1,1,1,-97.60103,35.43553,pacific ave long beach ca long beach
246,243,339875,339875,1.00 + supermarket,8951,Richmond Ave,,Houston,TX,77063,Convenience Store,st_338791,0,0,0,0,0,0,1,0,0,0,-93.60014,41.73595,richmond ave houston tx houston
247,244,3639,3639,1.6.8. supermarket llc,5722,8th Ave,,Brooklyn,NY,11220,Medium Grocery Store,st_003640,1,1,1,0,0,0,0,0,0,0,-75.44568211,39.16047584,8th ave brooklyn ny brooklyn
248,245,188486,188486,1/2 off & more,402,N Maryland Ave,,Wilmington,DE,19804,Small Grocery Store,st_188387,0,1,1,0,0,0,0,0,0,0,-89.51289,42.97043,n maryland ave wilmington de wilmington
249,246,370930,370930,1/2 price grocery,2808,Randleman Rd,Ste G,Greensboro,NC,27406,Combination Grocery/Other,st_369507,0,0,0,0,0,0,0,1,1,0,-94.17139,30.08029,randleman rd greensboro nc greensboro
250,247,200411,200411,10 & hoover sunoco,25025,Hoover Rd,,Warren,MI,48089,Convenience Store,st_200273,0,0,1,1,1,1,1,1,1,1,-82.0639,41.28376,hoover rd warren mi warren
251,248,392395,392395,10 & little mack shell,20725,E 10 Mile Rd,,Saint Clair Shores,MI,48080,Convenience Store,st_390729,0,0,0,0,0,0,0,0,1,1,-82.0621,32.37873,e 10 mile rd saint clair shores mi saint clair shores
251,248,392395,392395,10 & little mack shell,20725,E 10 Mile Rd,,Saint Clair Shores,MI,48080,Convenience Store,st_390724,0,0,0,0,0,0,0,0,1,1,-82.0621,32.37873,e 10 mile rd saint clair shores mi saint clair shores
248,245,188486,188486,1/2 off & more,402,N Maryland Ave,,Wilmington,DE,19804,Small Grocery Store,st_188386,0,1,1,0,0,0,0,0,0,0,-89.51289,42.97043,n maryland ave wilmington de wilmington
249,246,370930,370930,1/2 price grocery,2808,Randleman Rd,Ste G,Greensboro,NC,27406,Combination Grocery/Other,st_369517,0,0,0,0,0,0,0,1,1,0,-94.17139,30.08029,randleman rd greensboro nc greensboro
250,247,200411,200411,10 & hoover sunoco,25025,Hoover Rd,,Warren,MI,48089,Convenience Store,st_200283,0,0,1,1,1,1,1,1,1,1,-82.0639,41.28376,hoover rd warren mi warren
