gisjn_ua,name_ua,fips_ua,STATE,Region,Division,year,99cent,dg,grocer,super,walmart,dg_add,grocer_drop,super_drop
G45505,"Klamath Falls--Altamont, OR",45505,Oregon,West Region,Pacific Division,Y2017,0,0,1,5,1,0,1,1
G45667,"Kodiak, AK",45667,Alaska,West Region,Pacific Division,Y2017,0,0,1,3,1,0,1,0
G45748,"Kotzebue, AK",45748,Alaska,West Region,Pacific Division,Y2017,0,0,2,0,0,0,0,0
G45856,"Laconia, NH",45856,New Hampshire,Northeast Region,New England Division,Y2017,0,0,1,5,1,0,0,0
G45883,"La Conner, WA",45883,Washington,West Region,Pacific Division,Y2017,0,0,1,0,0,0,0,0
G46099,"Lafayette, TN",46099,Tennessee,South Region,East South Central Division,Y2017,0,0,2,3,1,0,1,1
G46207,"La Grande, OR",46207,Oregon,West Region,Pacific Division,Y2017,0,0,2,4,1,0,0,0
G46423,"Laie--Hauula, HI",46423,Hawaii,West Region,Pacific Division,Y2017,0,0,3,3,0,0,0,0
G46465,"Lake Arrowhead--Crestline, CA",46465,California,West Region,Pacific Division,Y2017,0,0,1,3,0,0,0,0
G46585,"Lake City, MN",46585,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,1,0,0,0,0
G46675,"Lake Crystal, MN",46675,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,0,0,NA,NA,NA
G46684,"Lake Delton, WI",46684,Wisconsin,Midwest Region,East North Central Division,Y2017,0,0,1,3,1,0,1,0
G46693,"Lake Geneva, WI",46693,Wisconsin,Midwest Region,East North Central Division,Y2017,0,0,1,3,0,0,0,0
G46774,"Lake Isabella, CA",46774,California,West Region,Pacific Division,Y2017,0,0,2,1,0,0,0,0
G47044,"Lake Pocotopaug--East Hampton, CT",47044,Connecticut,Northeast Region,New England Division,Y2017,0,0,1,1,0,0,0,0
G47132,"Lakes--Knik-Fairview--Wasilla, AK",47132,Alaska,West Region,Pacific Division,Y2017,0,0,1,6,0,0,0,0
G47449,"Lanai City, HI",47449,Hawaii,West Region,Pacific Division,Y2017,0,0,1,1,0,0,0,0
G47827,"Laramie, WY",47827,Wyoming,West Region,Mountain Division,Y2017,0,0,1,4,1,0,0,0
G48367,"Lawrenceville, VA",48367,Virginia,South Region,South Atlantic Division,Y2017,0,0,1,0,0,0,0,0
G48485,"Leavenworth, WA",48485,Washington,West Region,Pacific Division,Y2017,0,0,1,2,0,0,0,0
G48637,"Lebanon, OR",48637,Oregon,West Region,Pacific Division,Y2017,0,0,1,4,1,0,1,0
G48728,"Lebanon--Hanover, NH--VT",48728,New Hampshire,Northeast Region,New England Division,Y2017,0,0,3,7,1,0,0,0
G48745,"Lee, MA",48745,Massachusetts,Northeast Region,New England Division,Y2017,0,0,1,2,0,0,0,0
G48988,"Le Mars, IA",48988,Iowa,Midwest Region,West North Central Division,Y2017,0,0,1,2,0,0,0,0
G49177,"Le Sueur, MN",49177,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,1,0,0,0,0
G49609,"Libby, MT",49609,Montana,West Region,Mountain Division,Y2017,0,0,1,1,0,0,0,0
G49663,"Liberty, NY",49663,New York,Northeast Region,Middle Atlantic Division,Y2017,0,0,2,1,0,0,0,0
G49690,"Liberty, TX",49690,Texas,South Region,West South Central Division,Y2017,0,0,1,1,1,0,1,0
G49771,"Lihue, HI",49771,Hawaii,West Region,Pacific Division,Y2017,0,0,1,5,1,0,0,0
G49960,"Lincoln City, OR",49960,Oregon,West Region,Pacific Division,Y2017,0,0,2,5,0,0,0,0
G50041,"Lindsay, CA",50041,California,West Region,Pacific Division,Y2017,0,0,6,3,0,0,0,0
G50122,"Lindstrom--Chisago City, MN",50122,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,0,0,0,1,0
G50257,"Litchfield, MN",50257,Minnesota,Midwest Region,West North Central Division,Y2017,0,0,1,1,0,0,0,0
G50446,"Littleton, NH",50446,New Hampshire,Northeast Region,New England Division,Y2017,0,0,1,2,1,0,0,0
G50608,"Livingston, MT",50608,Montana,West Region,Mountain Division,Y2017,0,0,2,2,0,0,0,0
G50743,"Lockhart, TX",50743,Texas,South Region,West South Central Division,Y2017,0,0,1,2,1,0,0,0
