gisjn_ua,name_ua,fips_ua,STATE,Region,Division,year,99cent,dg,grocer,super,walmart,dg_add,grocer_drop,super_drop
G02825,"Arbuckle, CA",02825,California,West Region,Pacific Division,Y2008,1,0,1,0,0,NA,NA,NA
G02912,"Arcadia--Southeast Arcadia, FL",02912,Florida,South Region,South Atlantic Division,Y2008,1,1,3,4,1,NA,NA,NA
G05302,"Barstow, CA",05302,California,West Region,Pacific Division,Y2008,1,0,3,5,1,NA,NA,NA
G20206,"Corning, CA",20206,California,West Region,Pacific Division,Y2008,1,0,2,2,0,NA,NA,NA
G23716,"Desert Hot Springs, CA",23716,California,West Region,Pacific Division,Y2008,1,0,2,6,0,NA,NA,NA
G25579,"Earlimart, CA",25579,California,West Region,Pacific Division,Y2008,1,0,4,2,0,NA,NA,NA
G41077,"Immokalee, FL",41077,Florida,South Region,South Atlantic Division,Y2008,1,0,9,2,0,NA,NA,NA
G44587,"Kerman, CA",44587,California,West Region,Pacific Division,Y2008,1,0,0,1,0,NA,NA,NA
G50041,"Lindsay, CA",50041,California,West Region,Pacific Division,Y2008,1,0,4,2,0,NA,NA,NA
G58020,"Mojave, CA",58020,California,West Region,Pacific Division,Y2008,1,0,0,1,0,NA,NA,NA
G65917,"Orosi, CA",65917,California,West Region,Pacific Division,Y2008,2,0,7,1,0,NA,NA,NA
G70815,"Poplar-Cotton Center, CA",70815,California,West Region,Pacific Division,Y2008,1,0,1,0,0,NA,NA,NA
G86329,"Taft, CA",86329,California,West Region,Pacific Division,Y2008,1,0,3,2,0,NA,NA,NA
G87112,"Terra Bella, CA",87112,California,West Region,Pacific Division,Y2008,1,0,3,0,0,NA,NA,NA
G89191,"Twentynine Palms, CA",89191,California,West Region,Pacific Division,Y2008,1,0,1,1,0,NA,NA,NA
G95725,"Willows, CA",95725,California,West Region,Pacific Division,Y2008,1,0,2,2,0,NA,NA,NA
G96967,"Woodlake, CA",96967,California,West Region,Pacific Division,Y2008,1,0,2,1,0,NA,NA,NA
G00037,"Abbeville, LA",00037,Louisiana,South Region,West South Central Division,Y2008,0,4,4,5,1,NA,NA,NA
G00064,"Abbeville, SC",00064,South Carolina,South Region,South Atlantic Division,Y2008,0,2,1,2,0,NA,NA,NA
G00091,"Abbotsford, WI",00091,Wisconsin,Midwest Region,East North Central Division,Y2008,0,1,0,0,0,NA,NA,NA
G00226,"Abernathy, TX",00226,Texas,South Region,West South Central Division,Y2008,0,1,1,0,0,NA,NA,NA
G00253,"Abilene, KS",00253,Kansas,Midwest Region,West North Central Division,Y2008,0,1,1,1,0,NA,NA,NA
G00334,"Abingdon, IL",00334,Illinois,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G00415,"Ada, OK",00415,Oklahoma,South Region,West South Central Division,Y2008,0,2,3,3,1,NA,NA,NA
G00450,"Adams, NY",00450,New York,Northeast Region,Middle Atlantic Division,Y2008,0,1,0,0,0,NA,NA,NA
G00469,"Adel, GA",00469,Georgia,South Region,South Atlantic Division,Y2008,0,2,1,2,0,NA,NA,NA
G00577,"Adrian, MI",00577,Michigan,Midwest Region,East North Central Division,Y2008,0,1,4,6,0,NA,NA,NA
G00658,"Ahoskie, NC",00658,North Carolina,South Region,South Atlantic Division,Y2008,0,2,1,3,0,NA,NA,NA
G00712,"Ajo, AZ",00712,Arizona,West Region,Mountain Division,Y2008,0,1,0,1,0,NA,NA,NA
G00793,"Alachua, FL",00793,Florida,South Region,South Atlantic Division,Y2008,0,1,0,0,0,NA,NA,NA
G00820,"Alamogordo, NM",00820,New Mexico,West Region,Mountain Division,Y2008,0,2,1,3,1,NA,NA,NA
G00982,"Albemarle, NC",00982,North Carolina,South Region,South Atlantic Division,Y2008,0,2,3,6,1,NA,NA,NA
G01036,"Albertville, AL",01036,Alabama,South Region,East South Central Division,Y2008,0,7,3,13,2,NA,NA,NA
G01063,"Albia, IA",01063,Iowa,Midwest Region,West North Central Division,Y2008,0,1,0,2,0,NA,NA,NA
G01090,"Albion, MI",01090,Michigan,Midwest Region,East North Central Division,Y2008,0,2,0,1,0,NA,NA,NA
G01117,"Albion, NY",01117,New York,Northeast Region,Middle Atlantic Division,Y2008,0,1,0,2,0,NA,NA,NA
G01144,"Albion, PA",01144,Pennsylvania,Northeast Region,Middle Atlantic Division,Y2008,0,1,2,0,0,NA,NA,NA
G01252,"Alexander City, AL",01252,Alabama,South Region,East South Central Division,Y2008,0,3,1,2,1,NA,NA,NA
G01387,"Algona, IA",01387,Iowa,Midwest Region,West North Central Division,Y2008,0,1,0,2,0,NA,NA,NA
G01414,"Alice, TX",01414,Texas,South Region,West South Central Division,Y2008,0,2,2,2,1,NA,NA,NA
G01441,"Allegan, MI",01441,Michigan,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G01468,"Allendale, SC",01468,South Carolina,South Region,South Atlantic Division,Y2008,0,1,0,2,0,NA,NA,NA
G01522,"Alliance, NE",01522,Nebraska,Midwest Region,West North Central Division,Y2008,0,1,0,4,0,NA,NA,NA
G01549,"Alliance, OH",01549,Ohio,Midwest Region,East North Central Division,Y2008,0,3,1,7,1,NA,NA,NA
G01603,"Alma, GA",01603,Georgia,South Region,South Atlantic Division,Y2008,0,1,0,1,0,NA,NA,NA
G01630,"Alma--St. Louis, MI",01630,Michigan,Midwest Region,East North Central Division,Y2008,0,1,0,4,0,NA,NA,NA
G01684,"Alpena, MI",01684,Michigan,Midwest Region,East North Central Division,Y2008,0,1,1,4,0,NA,NA,NA
G01711,"Alpine, TX",01711,Texas,South Region,West South Central Division,Y2008,0,1,0,3,0,NA,NA,NA
G01738,"Altavista, VA",01738,Virginia,South Region,South Atlantic Division,Y2008,0,1,1,1,0,NA,NA,NA
G01846,"Altus, OK",01846,Oklahoma,South Region,West South Central Division,Y2008,0,2,0,5,1,NA,NA,NA
G01900,"Alvarado, TX",01900,Texas,South Region,West South Central Division,Y2008,0,1,1,1,0,NA,NA,NA
G02008,"Americus, GA",02008,Georgia,South Region,South Atlantic Division,Y2008,0,2,3,5,1,NA,NA,NA
G02116,"Amite City, LA",02116,Louisiana,South Region,West South Central Division,Y2008,0,2,3,4,1,NA,NA,NA
G02143,"Amory, MS",02143,Mississippi,South Region,East South Central Division,Y2008,0,2,1,4,1,NA,NA,NA
G02170,"Amsterdam, NY",02170,New York,Northeast Region,Middle Atlantic Division,Y2008,0,1,2,5,1,NA,NA,NA
G02251,"Anadarko, OK",02251,Oklahoma,South Region,West South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G02278,"Anamosa, IA",02278,Iowa,Midwest Region,West North Central Division,Y2008,0,1,0,0,0,NA,NA,NA
G02359,"Andalusia, AL",02359,Alabama,South Region,East South Central Division,Y2008,0,2,0,3,0,NA,NA,NA
G02440,"Andrews, SC",02440,South Carolina,South Region,South Atlantic Division,Y2008,0,1,0,2,0,NA,NA,NA
G02467,"Andrews, TX",02467,Texas,South Region,West South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G02548,"Angola, IN",02548,Indiana,Midwest Region,East North Central Division,Y2008,0,1,0,4,1,NA,NA,NA
G02575,"Anna, IL",02575,Illinois,Midwest Region,East North Central Division,Y2008,0,2,0,2,1,NA,NA,NA
G02581,"Anna, TX",02581,Texas,South Region,West South Central Division,Y2008,0,1,0,0,0,NA,NA,NA
G02710,"Apalachicola, FL",02710,Florida,South Region,South Atlantic Division,Y2008,0,1,1,2,0,NA,NA,NA
G02791,"Arab, AL",02791,Alabama,South Region,East South Central Division,Y2008,0,1,0,3,1,NA,NA,NA
G02899,"Arcadia, LA",02899,Louisiana,South Region,West South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G02953,"Archbold, OH",02953,Ohio,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G02980,"Arcola, IL",02980,Illinois,Midwest Region,East North Central Division,Y2008,0,1,1,1,0,NA,NA,NA
G03007,"Ardmore, OK",03007,Oklahoma,South Region,West South Central Division,Y2008,0,3,3,3,1,NA,NA,NA
G03115,"Arkadelphia, AR",03115,Arkansas,South Region,West South Central Division,Y2008,0,2,1,1,0,NA,NA,NA
G03142,"Arkansas City, KS",03142,Kansas,Midwest Region,West North Central Division,Y2008,0,1,0,3,1,NA,NA,NA
G03158,"Arlington, TN",03158,Tennessee,South Region,East South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G03223,"Artesia, NM",03223,New Mexico,West Region,Mountain Division,Y2008,0,1,0,2,0,NA,NA,NA
G03277,"Ashburn, GA",03277,Georgia,South Region,South Atlantic Division,Y2008,0,1,0,2,0,NA,NA,NA
G03304,"Ashdown, AR",03304,Arkansas,South Region,West South Central Division,Y2008,0,1,2,2,1,NA,NA,NA
G03331,"Asheboro, NC",03331,North Carolina,South Region,South Atlantic Division,Y2008,0,4,13,10,2,NA,NA,NA
G03365,"Ashland, MO",03365,Missouri,Midwest Region,West North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G03385,"Ashland, OH",03385,Ohio,Midwest Region,East North Central Division,Y2008,0,2,1,4,0,NA,NA,NA
G03395,"Ashland, PA",03395,Pennsylvania,Northeast Region,Middle Atlantic Division,Y2008,0,1,1,1,0,NA,NA,NA
G03439,"Ashland City, TN",03439,Tennessee,South Region,East South Central Division,Y2008,0,1,0,2,0,NA,NA,NA
G03466,"Ashtabula, OH",03466,Ohio,Midwest Region,East North Central Division,Y2008,0,3,3,7,1,NA,NA,NA
G03493,"Ashville, OH",03493,Ohio,Midwest Region,East North Central Division,Y2008,0,1,0,0,0,NA,NA,NA
G03601,"Atchison, KS--MO",03601,Kansas,Midwest Region,West North Central Division,Y2008,0,1,4,1,0,NA,NA,NA
G03655,"Athens, AL",03655,Alabama,South Region,East South Central Division,Y2008,0,6,0,8,1,NA,NA,NA
G03682,"Athens, OH",03682,Ohio,Midwest Region,East North Central Division,Y2008,0,2,5,4,1,NA,NA,NA
G03709,"Athens, TN",03709,Tennessee,South Region,East South Central Division,Y2008,0,2,2,6,0,NA,NA,NA
G03736,"Athens, TX",03736,Texas,South Region,West South Central Division,Y2008,0,2,1,3,1,NA,NA,NA
G03844,"Atlanta, TX",03844,Texas,South Region,West South Central Division,Y2008,0,2,2,1,0,NA,NA,NA
G03925,"Atmore, AL",03925,Alabama,South Region,East South Central Division,Y2008,0,2,1,2,0,NA,NA,NA
G03957,"Atoka, TN",03957,Tennessee,South Region,East South Central Division,Y2008,0,2,3,2,0,NA,NA,NA
G03979,"Attica, IN",03979,Indiana,Midwest Region,East North Central Division,Y2008,0,1,1,1,0,NA,NA,NA
G04021,"Aubrey, TX",04021,Texas,South Region,West South Central Division,Y2008,0,1,0,0,0,NA,NA,NA
G04054,"Auburn, IL",04054,Illinois,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G04060,"Auburn, IN",04060,Indiana,Midwest Region,East North Central Division,Y2008,0,2,2,2,1,NA,NA,NA
G04087,"Auburn, NE",04087,Nebraska,Midwest Region,West North Central Division,Y2008,0,1,1,1,0,NA,NA,NA
G04114,"Auburn, NY",04114,New York,Northeast Region,Middle Atlantic Division,Y2008,0,1,1,5,1,NA,NA,NA
G04168,"Augusta, KS",04168,Kansas,Midwest Region,West North Central Division,Y2008,0,1,0,2,1,NA,NA,NA
G04276,"Aurora, MO",04276,Missouri,Midwest Region,West North Central Division,Y2008,0,1,1,1,0,NA,NA,NA
G04303,"Aurora, NE",04303,Nebraska,Midwest Region,West North Central Division,Y2008,0,1,1,1,0,NA,NA,NA
G04330,"Au Sable, MI",04330,Michigan,Midwest Region,East North Central Division,Y2008,0,1,0,3,0,NA,NA,NA
G04519,"Avon, NY",04519,New York,Northeast Region,Middle Atlantic Division,Y2008,0,1,0,1,0,NA,NA,NA
G04600,"Bad Axe, MI",04600,Michigan,Midwest Region,East North Central Division,Y2008,0,1,0,2,1,NA,NA,NA
G04627,"Bainbridge, GA",04627,Georgia,South Region,South Atlantic Division,Y2008,0,2,2,6,1,NA,NA,NA
G04708,"Bald Knob, AR",04708,Arkansas,South Region,West South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G04789,"Baldwin City, KS",04789,Kansas,Midwest Region,West North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G04816,"Ballinger, TX",04816,Texas,South Region,West South Central Division,Y2008,0,1,0,2,1,NA,NA,NA
G04870,"Baltimore, OH",04870,Ohio,Midwest Region,East North Central Division,Y2008,0,1,1,0,0,NA,NA,NA
G04897,"Bamberg, SC",04897,South Carolina,South Region,South Atlantic Division,Y2008,0,1,1,0,0,NA,NA,NA
G05059,"Bardstown, KY",05059,Kentucky,South Region,East South Central Division,Y2008,0,2,1,5,1,NA,NA,NA
G05113,"Barnesville, GA",05113,Georgia,South Region,South Atlantic Division,Y2008,0,1,0,2,0,NA,NA,NA
G05194,"Barnwell, SC",05194,South Carolina,South Region,South Atlantic Division,Y2008,0,1,1,1,0,NA,NA,NA
G05221,"Barre--Montpelier, VT",05221,Vermont,Northeast Region,New England Division,Y2008,0,1,4,3,0,NA,NA,NA
G05248,"Barron, WI",05248,Wisconsin,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G05329,"Bartlesville, OK",05329,Oklahoma,South Region,West South Central Division,Y2008,0,4,2,10,1,NA,NA,NA
G05437,"Bastrop, LA",05437,Louisiana,South Region,West South Central Division,Y2008,0,2,1,3,0,NA,NA,NA
G05464,"Bastrop, TX",05464,Texas,South Region,West South Central Division,Y2008,0,1,1,2,1,NA,NA,NA
G05491,"Batavia, NY",05491,New York,Northeast Region,Middle Atlantic Division,Y2008,0,2,0,5,1,NA,NA,NA
G05518,"Batesburg-Leesville, SC",05518,South Carolina,South Region,South Atlantic Division,Y2008,0,2,1,2,0,NA,NA,NA
G05545,"Batesville, AR",05545,Arkansas,South Region,West South Central Division,Y2008,0,3,1,3,0,NA,NA,NA
G05572,"Batesville, IN",05572,Indiana,Midwest Region,East North Central Division,Y2008,0,1,2,2,0,NA,NA,NA
G05599,"Batesville, MS",05599,Mississippi,South Region,East South Central Division,Y2008,0,1,1,3,0,NA,NA,NA
G05653,"Bath, NY",05653,New York,Northeast Region,Middle Atlantic Division,Y2008,0,2,0,2,0,NA,NA,NA
G05788,"Baxley, GA",05788,Georgia,South Region,South Atlantic Division,Y2008,0,1,1,3,1,NA,NA,NA
G05815,"Baxter Springs, KS",05815,Kansas,Midwest Region,West North Central Division,Y2008,0,1,1,2,0,NA,NA,NA
G05896,"Bay City, TX",05896,Texas,South Region,West South Central Division,Y2008,0,1,1,2,1,NA,NA,NA
G05923,"Bay Minette, AL",05923,Alabama,South Region,East South Central Division,Y2008,0,2,0,2,0,NA,NA,NA
G05977,"Beardstown, IL",05977,Illinois,Midwest Region,East North Central Division,Y2008,0,1,0,2,0,NA,NA,NA
G06004,"Beatrice, NE",06004,Nebraska,Midwest Region,West North Central Division,Y2008,0,1,1,1,0,NA,NA,NA
G06031,"Beaufort--Port Royal, SC",06031,South Carolina,South Region,South Atlantic Division,Y2008,0,1,1,7,1,NA,NA,NA
G06085,"Beaver Dam, KY",06085,Kentucky,South Region,East South Central Division,Y2008,0,2,0,3,1,NA,NA,NA
G06166,"Bedford, IN",06166,Indiana,Midwest Region,East North Central Division,Y2008,0,2,0,7,1,NA,NA,NA
G06193,"Bedford, PA",06193,Pennsylvania,Northeast Region,Middle Atlantic Division,Y2008,0,1,0,2,0,NA,NA,NA
G06220,"Bedford, VA",06220,Virginia,South Region,South Atlantic Division,Y2008,0,1,2,2,1,NA,NA,NA
G06274,"Beeville, TX",06274,Texas,South Region,West South Central Division,Y2008,0,1,2,1,0,NA,NA,NA
G06301,"Belding, MI",06301,Michigan,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G06436,"Bellefontaine, OH",06436,Ohio,Midwest Region,East North Central Division,Y2008,0,3,1,4,1,NA,NA,NA
G06463,"Bellefonte, PA",06463,Pennsylvania,Northeast Region,Middle Atlantic Division,Y2008,0,2,1,1,0,NA,NA,NA
G06625,"Bellevue, OH",06625,Ohio,Midwest Region,East North Central Division,Y2008,0,1,0,2,0,NA,NA,NA
G06692,"Bells, TN",06692,Tennessee,South Region,East South Central Division,Y2008,0,2,2,1,0,NA,NA,NA
G06706,"Bellville, TX",06706,Texas,South Region,West South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G06779,"Belton, SC",06779,South Carolina,South Region,South Atlantic Division,Y2008,0,1,0,1,0,NA,NA,NA
G06895,"Bennettsville, SC",06895,South Carolina,South Region,South Atlantic Division,Y2008,0,1,1,4,0,NA,NA,NA
G06949,"Benson, AZ",06949,Arizona,West Region,Mountain Division,Y2008,0,1,0,1,0,NA,NA,NA
G07003,"Benson, NC",07003,North Carolina,South Region,South Atlantic Division,Y2008,0,1,1,2,0,NA,NA,NA
G07057,"Benton, KY",07057,Kentucky,South Region,East South Central Division,Y2008,0,1,1,1,1,NA,NA,NA
G07084,"Benton, LA",07084,Louisiana,South Region,West South Central Division,Y2008,0,1,0,2,0,NA,NA,NA
G07165,"Berea, KY",07165,Kentucky,South Region,East South Central Division,Y2008,0,2,0,2,1,NA,NA,NA
G07219,"Berlin, WI",07219,Wisconsin,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G07246,"Berne, IN",07246,Indiana,Midwest Region,East North Central Division,Y2008,0,1,1,1,0,NA,NA,NA
G07273,"Berrien Springs, MI",07273,Michigan,Midwest Region,East North Central Division,Y2008,0,1,2,2,0,NA,NA,NA
G07300,"Berryville, AR",07300,Arkansas,South Region,West South Central Division,Y2008,0,1,0,2,1,NA,NA,NA
G07327,"Berryville, VA",07327,Virginia,South Region,South Atlantic Division,Y2008,0,1,0,1,0,NA,NA,NA
G07354,"Bethany, MO",07354,Missouri,Midwest Region,West North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G07408,"Bethel, OH",07408,Ohio,Midwest Region,East North Central Division,Y2008,0,1,0,2,0,NA,NA,NA
G07489,"Bicknell, IN",07489,Indiana,Midwest Region,East North Central Division,Y2008,0,1,1,1,0,NA,NA,NA
G07543,"Big Lake, TX",07543,Texas,South Region,West South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G07651,"Big Spring, TX",07651,Texas,South Region,West South Central Division,Y2008,0,2,1,2,1,NA,NA,NA
G07678,"Big Stone Gap, VA",07678,Virginia,South Region,South Atlantic Division,Y2008,0,2,2,3,1,NA,NA,NA
G07813,"Bisbee, AZ",07813,Arizona,West Region,Mountain Division,Y2008,0,1,0,0,0,NA,NA,NA
G07867,"Bishop, TX",07867,Texas,South Region,West South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G07894,"Bishopville, SC",07894,South Carolina,South Region,South Atlantic Division,Y2008,0,1,0,2,0,NA,NA,NA
G07975,"Black River Falls, WI",07975,Wisconsin,Midwest Region,East North Central Division,Y2008,0,1,0,2,1,NA,NA,NA
G08029,"Blackshear, GA",08029,Georgia,South Region,South Atlantic Division,Y2008,0,1,0,1,0,NA,NA,NA
G08056,"Blackstone, VA",08056,Virginia,South Region,South Atlantic Division,Y2008,0,1,0,0,0,NA,NA,NA
G08137,"Blair, NE",08137,Nebraska,Midwest Region,West North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G08164,"Blairsville, PA",08164,Pennsylvania,Northeast Region,Middle Atlantic Division,Y2008,0,1,0,2,1,NA,NA,NA
G08191,"Blakely, GA",08191,Georgia,South Region,South Atlantic Division,Y2008,0,1,0,1,0,NA,NA,NA
G08209,"Blanchard, OK",08209,Oklahoma,South Region,West South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G08218,"Blanchester, OH",08218,Ohio,Midwest Region,East North Central Division,Y2008,0,1,0,2,0,NA,NA,NA
G08272,"Blissfield, MI",08272,Michigan,Midwest Region,East North Central Division,Y2008,0,1,1,0,0,NA,NA,NA
G08299,"Bloomer, WI",08299,Wisconsin,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G08326,"Bloomfield, IN",08326,Indiana,Midwest Region,East North Central Division,Y2008,0,1,0,0,0,NA,NA,NA
G08353,"Bloomfield, NM",08353,New Mexico,West Region,Mountain Division,Y2008,0,1,0,1,0,NA,NA,NA
G08461,"Blountstown, FL",08461,Florida,South Region,South Atlantic Division,Y2008,0,1,0,2,0,NA,NA,NA
G08515,"Bluefield, WV--VA",08515,West Virginia,South Region,South Atlantic Division,Y2008,0,4,2,15,1,NA,NA,NA
G08542,"Bluffton, IN",08542,Indiana,Midwest Region,East North Central Division,Y2008,0,2,0,3,1,NA,NA,NA
G08650,"Blytheville, AR",08650,Arkansas,South Region,West South Central Division,Y2008,0,1,1,3,0,NA,NA,NA
G08731,"Bogalusa, LA",08731,Louisiana,South Region,West South Central Division,Y2008,0,1,3,4,1,NA,NA,NA
G08758,"Boiling Springs, NC",08758,North Carolina,South Region,South Atlantic Division,Y2008,0,1,0,1,0,NA,NA,NA
G08812,"Bolivar, MO",08812,Missouri,Midwest Region,West North Central Division,Y2008,0,2,2,3,1,NA,NA,NA
G08839,"Bolivar, OH",08839,Ohio,Midwest Region,East North Central Division,Y2008,0,1,0,2,0,NA,NA,NA
G08866,"Bolivar, TN",08866,Tennessee,South Region,East South Central Division,Y2008,0,1,0,4,1,NA,NA,NA
G08920,"Bonham, TX",08920,Texas,South Region,West South Central Division,Y2008,0,1,2,2,1,NA,NA,NA
G08947,"Bonifay, FL",08947,Florida,South Region,South Atlantic Division,Y2008,0,1,0,2,0,NA,NA,NA
G09028,"Boone, IA",09028,Iowa,Midwest Region,West North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G09055,"Boone, NC",09055,North Carolina,South Region,South Atlantic Division,Y2008,0,1,0,7,1,NA,NA,NA
G09082,"Booneville, AR",09082,Arkansas,South Region,West South Central Division,Y2008,0,1,0,2,1,NA,NA,NA
G09163,"Boonville, IN",09163,Indiana,Midwest Region,East North Central Division,Y2008,0,1,1,2,0,NA,NA,NA
G09190,"Boonville, MO",09190,Missouri,Midwest Region,West North Central Division,Y2008,0,1,0,3,1,NA,NA,NA
G09217,"Borger, TX",09217,Texas,South Region,West South Central Division,Y2008,0,2,0,3,1,NA,NA,NA
G09352,"Bowie, TX",09352,Texas,South Region,West South Central Division,Y2008,0,1,0,2,1,NA,NA,NA
G09406,"Bowling Green, MO",09406,Missouri,Midwest Region,West North Central Division,Y2008,0,1,0,2,0,NA,NA,NA
G09433,"Bowling Green, OH",09433,Ohio,Midwest Region,East North Central Division,Y2008,0,1,1,4,1,NA,NA,NA
G09487,"Boyne City, MI",09487,Michigan,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G09541,"Bradford, PA--NY",09541,Pennsylvania,Northeast Region,Middle Atlantic Division,Y2008,0,1,1,3,0,NA,NA,NA
G09568,"Brady, TX",09568,Texas,South Region,West South Central Division,Y2008,0,1,0,2,0,NA,NA,NA
G09600,"Braidwood--Coal City--Wilmington, IL",09600,Illinois,Midwest Region,East North Central Division,Y2008,0,2,0,5,0,NA,NA,NA
G09676,"Branson, MO",09676,Missouri,Midwest Region,West North Central Division,Y2008,0,3,0,8,1,NA,NA,NA
G09801,"Breaux Bridge, LA",09801,Louisiana,South Region,West South Central Division,Y2008,0,2,3,4,1,NA,NA,NA
G09865,"Breese, IL",09865,Illinois,Midwest Region,East North Central Division,Y2008,0,1,3,0,0,NA,NA,NA
G09892,"Bremen, GA",09892,Georgia,South Region,South Atlantic Division,Y2008,0,1,0,2,1,NA,NA,NA
G09919,"Bremen, IN",09919,Indiana,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G09973,"Brenham, TX",09973,Texas,South Region,West South Central Division,Y2008,0,1,1,2,0,NA,NA,NA
G10000,"Brent, AL",10000,Alabama,South Region,East South Central Division,Y2008,0,1,1,0,0,NA,NA,NA
G10027,"Brevard, NC",10027,North Carolina,South Region,South Atlantic Division,Y2008,0,3,2,6,1,NA,NA,NA
G10081,"Brewton, AL",10081,Alabama,South Region,East South Central Division,Y2008,0,2,0,4,0,NA,NA,NA
G10135,"Bridgeport, TX",10135,Texas,South Region,West South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G10198,"Bridgeville, DE",10198,Delaware,South Region,South Atlantic Division,Y2008,0,1,0,0,0,NA,NA,NA
G10297,"Brillion, WI",10297,Wisconsin,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G10324,"Brinkley, AR",10324,Arkansas,South Region,West South Central Division,Y2008,0,1,0,3,0,NA,NA,NA
G10378,"Bristow, OK",10378,Oklahoma,South Region,West South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G10405,"Broadway, VA",10405,Virginia,South Region,South Atlantic Division,Y2008,0,1,1,1,0,NA,NA,NA
G10418,"Brockport, NY",10418,New York,Northeast Region,Middle Atlantic Division,Y2008,0,2,1,4,1,NA,NA,NA
G10426,"Brockway, PA",10426,Pennsylvania,Northeast Region,Middle Atlantic Division,Y2008,0,1,0,1,0,NA,NA,NA
G10459,"Brodhead, WI",10459,Wisconsin,Midwest Region,East North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G10513,"Broken Bow, NE",10513,Nebraska,Midwest Region,West North Central Division,Y2008,0,1,0,2,0,NA,NA,NA
G10540,"Broken Bow, OK",10540,Oklahoma,South Region,West South Central Division,Y2008,0,1,0,2,1,NA,NA,NA
G10567,"Brookfield, MO",10567,Missouri,Midwest Region,West North Central Division,Y2008,0,1,2,0,0,NA,NA,NA
G10594,"Brookhaven, MS",10594,Mississippi,South Region,East South Central Division,Y2008,0,2,0,4,1,NA,NA,NA
G10675,"Brooklyn, MI",10675,Michigan,Midwest Region,East North Central Division,Y2008,0,1,0,0,0,NA,NA,NA
G10702,"Brookshire, TX",10702,Texas,South Region,West South Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G10810,"Brookville, PA",10810,Pennsylvania,Northeast Region,Middle Atlantic Division,Y2008,0,1,0,2,0,NA,NA,NA
G10837,"Brownfield, TX",10837,Texas,South Region,West South Central Division,Y2008,0,1,0,0,0,NA,NA,NA
G10891,"Browns Mills--Fort Dix, NJ",10891,New Jersey,Northeast Region,Middle Atlantic Division,Y2008,0,1,3,3,0,NA,NA,NA
G10945,"Brownsville, TN",10945,Tennessee,South Region,East South Central Division,Y2008,0,1,0,3,1,NA,NA,NA
G10999,"Brownwood, TX",10999,Texas,South Region,West South Central Division,Y2008,0,2,1,3,1,NA,NA,NA
G11053,"Brunswick, MD--VA",11053,Maryland,South Region,South Atlantic Division,Y2008,0,1,0,1,0,NA,NA,NA
G11080,"Brush, CO",11080,Colorado,West Region,Mountain Division,Y2008,0,1,0,1,0,NA,NA,NA
G11107,"Bryan, OH",11107,Ohio,Midwest Region,East North Central Division,Y2008,0,1,0,4,1,NA,NA,NA
G11134,"Buckeye, AZ",11134,Arizona,West Region,Mountain Division,Y2008,0,1,1,1,0,NA,NA,NA
G11161,"Buckhannon, WV",11161,West Virginia,South Region,South Atlantic Division,Y2008,0,2,2,2,1,NA,NA,NA
G11188,"Buckner, MO",11188,Missouri,Midwest Region,West North Central Division,Y2008,0,1,0,1,0,NA,NA,NA
G11215,"Bucyrus, OH",11215,Ohio,Midwest Region,East North Central Division,Y2008,0,2,0,3,1,NA,NA,NA
G11323,"Buffalo, MO",11323,Missouri,Midwest Region,West North Central Division,Y2008,0,1,1,2,1,NA,NA,NA
G11431,"Bullhead City, AZ--NV",11431,Arizona,West Region,Mountain Division,Y2008,0,2,3,7,0,NA,NA,NA
G11512,"Bunkie, LA",11512,Louisiana,South Region,West South Central Division,Y2008,0,1,1,1,0,NA,NA,NA
G11539,"Buras, LA",11539,Louisiana,South Region,West South Central Division,Y2008,0,1,2,0,0,NA,NA,NA
